idx	Ser	Date	Block	Parc	Cat	Area	Nat	NewSer	RefV	RefS	TaxLP	TaxMl	TotLP	TotMl	ExEnt	ExLP	ExMl	NetLP	NetMl	Rem
0	١	٩٣٨	٤١٢٢	٢	١٠	١,١٩٥	تح	١٧	✓	٠٢٦	✓	٠٢٤								
1	٢	"	"	١٠	١٠	٤,٤٢٩	"	١٦	✓	٠٩٠	✓	٠٠٨								
2	٣	"	"	١٦	١٠	٤,٦٧٥	"		✓	٠٥٣	✓	٠٤٨								
3	٤	"	٤١٢٨	١٣	١٤	٢,٤٣٦	"	١٨	✓	-	-	-								
4	٥	"	"		١٦	٣,٤٩٠	"		✓	-	-	-								
5	٦	"	٤١٤٨	٢	١٢	١,٦٩٣	تح	١٩	✓	٠١٦	✓	٠٩٤								
6	٧	"			٣	٢,٠٥٢			✓	٠١٥	✓	٠٨٨								
7	٨	"	٤١٥٠	٤٤	١٢	٨٧٠	"		✓		-	-								
8	٩	"	٤١٥١	٤٤	١٢	٨٧٠			✓		✓	٠١٤								
9	١٠	"			١٦	٢,٤٠٠	"		✓	٠١٦	-	-								
10	١١	"		"	١٠	٤٠٠			✓	٠١٥	✓	٠٠٥								
11														~~٢٦٧~~ [RED] ٢٤٥				-	٢٤٥	Total due: ٢٤٥; Collection: receipt ١١٥٩٧, date ٤٣/١٠/٢٠, amount ٢٦٥; Arrears carried forward: -.
12	١٢	٩٣٩																	٢٤٥	Total due: ٢٤٥; Arrears carried forward: ٦٩٠.
13	١٣	٩٤٠																	٢٢١	زيادة تحصيل ٦٩٢; Arrears brought forward: ٦٩٠; Total due: ٩١١; Collections: receipt ٢٧٠, date ٤٤/٥/٣, amount ٢٦٥; receipt ٨٧٥٠, date ٤٥/٣/١٨, amount ٣٩٢; Total Collections: ٦٥٧; Arrears carried forward: ١٠.
14	١٤	٩٤١	٤١٥٠	٤٤	١٢	٨٧٠	بيع	١	٢١		✓	٠١٤		٢٧٧					٢٧٧	Total due: ١.١٣٥; Collection: receipt ٤٤٢٠١٢, date ٤٥/٧/٢٤, amount ٢٦٥; Arrears carried forward: ٧٩١.
15	١٥	٩٤٢	٤١٢٨	١٣	١٤	٢,٤٣٦					✓	٠٢٤								
16	١٦	"	"		١٦	٣,٤٩٠					✓	٠١٧								
17							ضريبة حرب							٧٥٤					٧٥٤	Total due: ١.٥٤٥; Collection: receipt ٤٤٩٢٠١٢, date ٤٦/٨/٢٢, amount ١.٥٤٥; Arrears carried forward: -.
18		٩٤٣																	٧٥٤	Total due: ٧٥٤; Collection: receipt ٨٥٥٨٦١, date ٤٧/٣/٢, amount ٧٥٤; Arrears carried forward: -.
19		٩٤٤																	٧٥٤	Total due: ٧٥٤; Collection: receipt ٤٤٥٨٩٢, date ٤٧/٥/١٢, amount ٧٥٤; Arrears carried forward: -.
20	١٩	٩٤٦	٤١٤٨	٢	١٢	١,٦٩٣	بيع					٠٩٤		١٥٠						
