Page_Number,Approach,Row_Index,Serial_No,Date,Property_recorded_under_Block_No,Property_recorded_under_Parcel_No,Parcel_Cat_No,Parcel_Area,Nature_of_Entry,New_Serial_No,Reference_to_Register_of_Changes_Volume_No,Reference_to_Register_of_Changes_Serial_No,Tax_LP,Tax_Mils,Total_Tax_LP,Total_Tax_Mils,Reference_to_Register_of_Exemptions_Entry_No,Reference_to_Register_of_Exemptions_Amount_LP,Reference_to_Register_of_Exemptions_Amount_Mils,Net_Assessment_LP,Net_Assessment_Mils,Remarks,Row_Confidence,Red_Ink,Disagreements
3,T,1,,و 26 <b>و</b> <i>26</i>,و,"![Picture 1]



Z",,"24,750",ْع,,,![Picture.1],و,![Picture],,,,,,,,,,,
3,T,2,"![Picture 1]



S",و,"(10,10),(995,995)",ل,ل,$$4 < c < 9$$,و,,Nike,.أ.,,-٢٠٢٠,,,,,,,,,,,
3,T,3,,"""،""",4,"(10,10),(995,990)",ل,"109,WN",السورة <b>الثامنة</b> <i>النinth</i> <i>السورة</i> <i>الثامنة</i> <i>النinth</i> <i>السورة</i> <i>الث,9c,"(1,4),(996,995)",أ,٢٢,$$\sqrt { 7 }$$,,,,,,,,,,,
3,T,4,3,الهندسة <b>الفيزيائية</b> <i>الفيزيائية</i> <i>الفيزيائية</i> <i>الفيزيائية</i> <i>الفيزيائية</i> <i>الفيزيائية</i>,323,c,![Picture 1],الهوا,1,loid,و,217,![Picture 1],\[ <u>3</u> <u>2</u> ]</p>,,,,,,,,,,,
3,T,5,,هذا <b>الصورة</b> <i>أنا</i> <i>أنا</i> <i>أنا</i> <i>أنا</i> <i>أنا</i> <i>أنا</i> <i>أنا,heart,و,,"9,513",و,102,"""idl",１２２６,,و,![Picture 1],,,,,,,,,,
3,T,6,,"""،""",و,4.,أ,"19,500",,,☑,２２．,و,↩️↩️,,,,,,,,,,,
3,T,7,,,س,２４,ل,"$$v, 0 \leq l$$",２,1.,☑,１２２,J,$$0 . 0 3$$,,,,,,,,,,,
3,T,8,A,,3,红,ل,saco,و,93,,و <i>ب</i> <i>م</i> <i>م</i> <i>م</i> <i>م</i> <i>م</i> <i>م</i> <i>م</i> <i>م</i>,,200,,,,,,,,,,,
3,T,9,9,،,4,３Ｖ,,"3,324",2,40,,,,.٢٢٢,,,,,,,,,,,
3,T,10,,,الهالك,01,,ا،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،,و,97,,,,"(10,10),(995,995)",,,,أ,,,,,,,
3,T,11,"""",4,$$3 \cdot 2 v$$,3 <u>&</u>,,non,,1.9,و,１７３,و,100,,,,,,,,,,,
3,T,12,"""15","""،""","(10,183),(995,987)",,٢٤,"$$j, \lambda \ldots$$",1، 2،,<p>DA</p>,V,,,,,,,,,,,,,,
3,T,13,“,"""",,,ها,“،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،,""" """,,و,,,,,,,,,,,,,,
3,T,14,14,"""،""",4,o,٢٢,٢٢٢٢,,99,و,,,,,,,,,,,,,,
3,T,15,,"""",２１２９,<<,“ه”,"c,mc",１２,,J,‘ك’,٢٢٢٢,.و,,,,,,,,,,,
3,T,16,و,""" """,,,أ,"(15,347),(999,698)",1، <b>،</b>,,![Picture 1],,,,,,,,,,,,,,
3,T,17,و,,4,٢٢٢,يكس,ا-نا,،,,و,. \u2013,و,“”,,,,,,,,,,,
3,T,18,\(\vdash\),و,,,٢٢,"$$1,290$$",,,☑,鸥,,,,,,,,,,,,,
3,T,19,19,,"""و""",لأ,心,sma,"(10,10),(990,988)",ayla,![Picture 1],. <u>24</u>,و,心,,,,,,,,,,,
3,T,20,<s.,闪电,,,"(1,10),(999,999)","$$3 , 3 3 3$$",1 6,أ,و,,,,,,,,,,,,,,
3,T,21,５１,و,النار,و,两只鸟停在一根树枝上,"(0,261),(999,995)",""" """,154,t. d.,l19h,و,A,,,,,,,,,,,
3,T,22,,و,,,17,و/أ/ه,,,,,,,,,,,,,,,,,
3,T,23,"(669,133),(999,789)",,و,orz,"(10,313),(100,787)","(0,133),(999,995)",٢٢٢٢٢٢٢٢٢٢٢٢٢٢٢٢٢٢٢٢٢٢٢٢٢٢٢٢٢٢٢٢,,☑,و,و,“ه”,,,,,,,,,,,
3,T,24,٢٢,"""؟""",,,اله,\[ 6 \times 3 \],;,,و,,,٢٢٢٢٢٢٢٢٢٢٢٢٢٢٢٢٢٢٢٢٢٢٢٢٢٢٢٢٢٢٢٢,,,,,,,,,,,
3,T,25,50,灯,٢٣٢٢٢٢٢٢٢٢٢٢٢٢٢٢٢٢٢٢٢٢٢٢٢٢٢٢٢٢٢٢,و,"(199,183),(584,749)",ك،ن،ق9,“,,![Picture 1],ك,1,.ه.,,,,أ,,,أ,,,,
3,T,26,22,و,![Picture 1],٢٠٢١,１２,八,،,,و,- <u>λ</u>,و,…,,,,,,,,,,,
3,T,27,"(678,133),(888,581)",鹰,"""",20,↩️,4.1.1,2,,و,. <b>23</b>,,.٢٢,,,,,,أ,,,,,
3,T,28,$$c _ { A }$$,"""",,,求,$$n . 5 . 3$$,4، 3,,J,,,,,,,,,أ,,,,,
3,T,29,＜９,٢٢,اٍاٍاٍاٍاٍاٍاٍاٍاٍاٍاٍاٍاٍاٍاٍاٍاٍاٍاٍاٍاٍا,√,‘‘ي,c...a,و,,و,و,,十八．,,,,,,,,,,,
3,T,30,"![Picture 1]



.","""،""",,,٢٢,＜…ا,٢٢,و,☑,,,,,,,,,,,,,,
3,T,31,"""","""",,,,وسنا,"""",,Ｖ,２２４,,$$c c 2$$,,,,,,,,,,,
3,T,32,25,""" """,“,و,“,2021,هذا <b>الصورة</b> <i>يظهر</i> <i>الصورة</i> <i>هذه</i> <i>الصورة</i> <i>هذه</i> <i>الصورة</i> <i>هذه,,ghest,.０７,,.04,,,,أ,,,,,,,
3,T,33,22,٢٢,وَإِنَّهُ <b>يَكُون</b> <i>مَن</i> <i>يَكُون</i> <i>يَكُون</i> <i>يَكُون</i> <i,,{ <u>،</u> <i>،</i> <i>،</i> <i>،</i> <i>،</i> <i>،</i> <i>،</i> <i>،</i> <i>،</i>,yor,""" """,,٢,,,,أ,,,,,,,,,,
3,T,34,,<p>أنت</p> <b>أنت</b> <i>أنت</i> <i>أنت</i> <i>أنت</i> <i>أنت</i> <i>أنت</i> <i>أنت</i> <,<p>أنت</p> <b>أنت</b> <i>أنت</i> <i>أنت</i> <i>أنت</i> <i>أنت</i> <i>أنت</i> <i>أنت</i> <,,,,,,,$$3 5 5$$,,– <b>و</b> <i>–</i> <i>و</i> <i>–</i> <i>و</i> <i>–</i> <i>و</i> <i>–</i> <i>و</i>,و,$$5 \sqrt { 1 0 }$$,,,,,,,,,
