row	col	state	som	som2
0	Serial_No	MATCH	١	١
0	Date	MISMATCH	٩٣٨	٩٢٨
0	Property_recorded_under_Block_No	MISMATCH	٤١٣٩	٤١٢٩
0	Property_recorded_under_Parcel_No	MATCH	٥١	٥١
0	Parcel_Cat_No	MATCH	١٢	١٢
0	Parcel_Area	MATCH	٢,٢٧٩	٢,٢٧٩
0	Nature_of_Entry	MATCH	تخ	تخ
0	New_Serial_No	BOTH_EMPTY		
0	Reference_to_Register_of_Changes_Volume_No	BOTH_EMPTY		
0	Reference_to_Register_of_Changes_Serial_No	MATCH	٠٢٤	٠٢٤
0	Tax_LP	BOTH_EMPTY		
0	Tax_Mils	MATCH	٠١٩	٠١٩
0	Total_Tax_LP	BOTH_EMPTY		
0	Total_Tax_Mils	BOTH_EMPTY		
0	Reference_to_Register_of_Exemptions_Entry_No	BOTH_EMPTY		
0	Reference_to_Register_of_Exemptions_Amount_LP	BOTH_EMPTY		
0	Reference_to_Register_of_Exemptions_Amount_Mils	ONLY_som	ـ	
0	Net_Assessment_LP	BOTH_EMPTY		
0	Net_Assessment_Mils	MISMATCH	٠٢٥	٠٢٢
0	Remarks	BOTH_EMPTY		
1	Serial_No	MATCH	٢	٢
1	Date	BOTH_EMPTY		
1	Property_recorded_under_Block_No	BOTH_EMPTY		
1	Property_recorded_under_Parcel_No	BOTH_EMPTY		
1	Parcel_Cat_No	MATCH	١٦	١٦
1	Parcel_Area	MISMATCH	٣,٥٦٩	٢,٥٦٩
1	Nature_of_Entry	BOTH_EMPTY		
1	New_Serial_No	BOTH_EMPTY		
1	Reference_to_Register_of_Changes_Volume_No	BOTH_EMPTY		
1	Reference_to_Register_of_Changes_Serial_No	BOTH_EMPTY		
1	Tax_LP	BOTH_EMPTY		
1	Tax_Mils	MISMATCH	ـ	–
1	Total_Tax_LP	BOTH_EMPTY		
1	Total_Tax_Mils	BOTH_EMPTY		
1	Reference_to_Register_of_Exemptions_Entry_No	BOTH_EMPTY		
1	Reference_to_Register_of_Exemptions_Amount_LP	BOTH_EMPTY		
1	Reference_to_Register_of_Exemptions_Amount_Mils	BOTH_EMPTY		
1	Net_Assessment_LP	BOTH_EMPTY		
1	Net_Assessment_Mils	BOTH_EMPTY		
1	Remarks	BOTH_EMPTY		
2	Serial_No	MATCH	٣	٣
