row	col	state	som	som2
0	Serial_No	MATCH	٩٧	٩٧
0	Date	MISMATCH	٩٢٢/٩٢٤	933/934
0	Property_recorded_under_Block_No	MISMATCH	٤١٤٩	٤١٢٩
0	Property_recorded_under_Parcel_No	MATCH	٢٨	٢٨
0	Parcel_Cat_No	MATCH	١٢	١٢
0	Parcel_Area	MISMATCH	٢,١٨٩	٢,٨١٩
0	Nature_of_Entry	MATCH	بيع	بيع
0	New_Serial_No	MATCH	٢٥	٢٥
0	Reference_to_Register_of_Changes_Volume_No	MATCH	١	١
0	Reference_to_Register_of_Changes_Serial_No	MATCH	٢١	٢١
0	Tax_LP	MATCH	✓	✓
0	Tax_Mils	MISMATCH	٠٢٤	٢٤
0	Total_Tax_LP	MATCH	٨	٨
0	Total_Tax_Mils	MISMATCH	٨٧٢	"٨٧٢
٤٤٢"
0	Reference_to_Register_of_Exemptions_Entry_No	BOTH_EMPTY		
0	Reference_to_Register_of_Exemptions_Amount_LP	BOTH_EMPTY		
0	Reference_to_Register_of_Exemptions_Amount_Mils	BOTH_EMPTY		
0	Net_Assessment_LP	MATCH	٨	٨
0	Net_Assessment_Mils	MATCH	٨٧٢	٨٧٢
0	Remarks	BOTH_EMPTY		
1	Serial_No	MATCH	٩٨	٩٨
1	Date	BOTH_EMPTY		
1	Property_recorded_under_Block_No	BOTH_EMPTY		
1	Property_recorded_under_Parcel_No	BOTH_EMPTY		
1	Parcel_Cat_No	MATCH	١٦	١٦
1	Parcel_Area	MISMATCH	٤,٣١٤	٤,٤١٤
1	Nature_of_Entry	BOTH_EMPTY		
1	New_Serial_No	BOTH_EMPTY		
1	Reference_to_Register_of_Changes_Volume_No	BOTH_EMPTY		
1	Reference_to_Register_of_Changes_Serial_No	BOTH_EMPTY		
1	Tax_LP	BOTH_EMPTY		
1	Tax_Mils	BOTH_EMPTY		
1	Total_Tax_LP	BOTH_EMPTY		
1	Total_Tax_Mils	BOTH_EMPTY		
1	Reference_to_Register_of_Exemptions_Entry_No	BOTH_EMPTY		
1	Reference_to_Register_of_Exemptions_Amount_LP	BOTH_EMPTY		
1	Reference_to_Register_of_Exemptions_Amount_Mils	BOTH_EMPTY		
1	Net_Assessment_LP	BOTH_EMPTY		
1	Net_Assessment_Mils	BOTH_EMPTY		
1	Remarks	BOTH_EMPTY		
2	Serial_No	MATCH	٩٩	٩٩
2	Date	BOTH_EMPTY		
2	Property_recorded_under_Block_No	MISMATCH	٤١٤١	٤١٢٩
2	Property_recorded_under_Parcel_No	MISMATCH	٥	١٥
2	Parcel_Cat_No	MISMATCH	١٤	١٦
2	Parcel_Area	MATCH	١,١٧٤	١,١٧٤
2	Nature_of_Entry	MATCH	""""	""""
2	New_Serial_No	BOTH_EMPTY		
2	Reference_to_Register_of_Changes_Volume_No	MATCH	١	١
2	Reference_to_Register_of_Changes_Serial_No	MATCH	٥٩	٥٩
2	Tax_LP	BOTH_EMPTY		
2	Tax_Mils	BOTH_EMPTY		
2	Total_Tax_LP	BOTH_EMPTY		
2	Total_Tax_Mils	BOTH_EMPTY		
2	Reference_to_Register_of_Exemptions_Entry_No	BOTH_EMPTY		
2	Reference_to_Register_of_Exemptions_Amount_LP	BOTH_EMPTY		
2	Reference_to_Register_of_Exemptions_Amount_Mils	BOTH_EMPTY		
2	Net_Assessment_LP	BOTH_EMPTY		
2	Net_Assessment_Mils	BOTH_EMPTY		
2	Remarks	BOTH_EMPTY		
3	Serial_No	BOTH_EMPTY		
3	Date	BOTH_EMPTY		
3	Property_recorded_under_Block_No	BOTH_EMPTY		
3	Property_recorded_under_Parcel_No	BOTH_EMPTY		
3	Parcel_Cat_No	BOTH_EMPTY		
3	Parcel_Area	BOTH_EMPTY		
3	Nature_of_Entry	BOTH_EMPTY		
3	New_Serial_No	BOTH_EMPTY		
3	Reference_to_Register_of_Changes_Volume_No	BOTH_EMPTY		
3	Reference_to_Register_of_Changes_Serial_No	MATCH	عقد	عقد
3	Tax_LP	BOTH_EMPTY		
3	Tax_Mils	BOTH_EMPTY		
3	Total_Tax_LP	BOTH_EMPTY		
3	Total_Tax_Mils	BOTH_EMPTY		
3	Reference_to_Register_of_Exemptions_Entry_No	BOTH_EMPTY		
3	Reference_to_Register_of_Exemptions_Amount_LP	BOTH_EMPTY		
3	Reference_to_Register_of_Exemptions_Amount_Mils	BOTH_EMPTY		
3	Net_Assessment_LP	BOTH_EMPTY		
3	Net_Assessment_Mils	BOTH_EMPTY		
3	Remarks	BOTH_EMPTY		
4	Serial_No	MATCH	١٠٠	١٠٠
