row	col	state	som	baseer
0	Serial_No	ONLY_baseer		السبت
0	Date	BOTH_EMPTY		
0	Property_recorded_under_Block_No	BOTH_EMPTY		
0	Property_recorded_under_Parcel_No	BOTH_EMPTY		
0	Parcel_Cat_No	BOTH_EMPTY		
0	Parcel_Area	BOTH_EMPTY		
0	Nature_of_Entry	ONLY_baseer		-
0	New_Serial_No	BOTH_EMPTY		
0	Reference_to_Register_of_Changes_Volume_No	MISMATCH	٢٢٢٢	٢٠
0	Reference_to_Register_of_Changes_Serial_No	MISMATCH	✓	٢٢٢
0	Tax_LP	ONLY_baseer		الثلاثاء
0	Tax_Mils	MISMATCH	٥٤٣٨	٣٣
0	Total_Tax_LP	MATCH	٥	٥
0	Total_Tax_Mils	MATCH	٢٨٥	٢٨٥
0	Reference_to_Register_of_Exemptions_Entry_No	BOTH_EMPTY		
0	Reference_to_Register_of_Exemptions_Amount_LP	BOTH_EMPTY		
0	Reference_to_Register_of_Exemptions_Amount_Mils	BOTH_EMPTY		
0	Net_Assessment_LP	BOTH_EMPTY		
0	Net_Assessment_Mils	BOTH_EMPTY		
0	Remarks	BOTH_EMPTY		
1	Serial_No	MISMATCH	٣٤	٢٤
1	Date	MISMATCH	٩٢٨	٩٦٨
1	Property_recorded_under_Block_No	MISMATCH	٤١٤١	١٤٨٣
1	Property_recorded_under_Parcel_No	MATCH	٢٢	٢٢
1	Parcel_Cat_No	MATCH	١٢	١٢
1	Parcel_Area	MISMATCH	٨,٨٧٤	٨٨٧٤
1	Nature_of_Entry	MISMATCH	في	٤
1	New_Serial_No	BOTH_EMPTY		
1	Reference_to_Register_of_Changes_Volume_No	MISMATCH	✓	الاربعاء
1	Reference_to_Register_of_Changes_Serial_No	MISMATCH	٧٢	-٧٢
1	Tax_LP	ONLY_som	✓	
1	Tax_Mils	MISMATCH	٠٧١	٧١
1	Total_Tax_LP	BOTH_EMPTY		
1	Total_Tax_Mils	BOTH_EMPTY		
1	Reference_to_Register_of_Exemptions_Entry_No	BOTH_EMPTY		
1	Reference_to_Register_of_Exemptions_Amount_LP	BOTH_EMPTY		
1	Reference_to_Register_of_Exemptions_Amount_Mils	BOTH_EMPTY		
1	Net_Assessment_LP	BOTH_EMPTY		
1	Net_Assessment_Mils	BOTH_EMPTY		
1	Remarks	BOTH_EMPTY		
2	Serial_No	MISMATCH	٣٥	٢٥
2	Date	MISMATCH	""""	٤
2	Property_recorded_under_Block_No	BOTH_EMPTY		
2	Property_recorded_under_Parcel_No	BOTH_EMPTY		
2	Parcel_Cat_No	MISMATCH	١٦	(١٦)
2	Parcel_Area	MISMATCH	٨٨٧٢	٨٨٧٤
2	Nature_of_Entry	MISMATCH	""""	٤
2	New_Serial_No	BOTH_EMPTY		
2	Reference_to_Register_of_Changes_Volume_No	MISMATCH	✓	السبت
2	Reference_to_Register_of_Changes_Serial_No	BOTH_EMPTY		
2	Tax_LP	MISMATCH	""""	-
2	Tax_Mils	MISMATCH	"-"""	-
2	Total_Tax_LP	BOTH_EMPTY		
2	Total_Tax_Mils	BOTH_EMPTY		
2	Reference_to_Register_of_Exemptions_Entry_No	BOTH_EMPTY		
2	Reference_to_Register_of_Exemptions_Amount_LP	BOTH_EMPTY		
2	Reference_to_Register_of_Exemptions_Amount_Mils	BOTH_EMPTY		
2	Net_Assessment_LP	BOTH_EMPTY		
2	Net_Assessment_Mils	BOTH_EMPTY		
2	Remarks	BOTH_EMPTY		
3	Serial_No	MISMATCH	٣٦	٢٦
3	Date	MISMATCH	""""	١
3	Property_recorded_under_Block_No	MISMATCH	٤١٤٤	٤١٢٤
3	Property_recorded_under_Parcel_No	MISMATCH	١٢	١٨
3	Parcel_Cat_No	MATCH	١٦	١٦
3	Parcel_Area	MISMATCH	٣,٧٧٤	٦٧٧٤
3	Nature_of_Entry	MISMATCH	4	٨
3	New_Serial_No	BOTH_EMPTY		
3	Reference_to_Register_of_Changes_Volume_No	MISMATCH	✓	٧
3	Reference_to_Register_of_Changes_Serial_No	BOTH_EMPTY		
3	Tax_LP	MISMATCH	""""	-
3	Tax_Mils	MISMATCH	"-"""	-
