row	col	state	som	som2
0	Serial_No	MATCH	١	١
0	Date	MATCH	٩٢٨	٩٢٨
0	Property_recorded_under_Block_No	MATCH	٤١٢٢	٤١٢٢
0	Property_recorded_under_Parcel_No	MATCH	٤	٤
0	Parcel_Cat_No	MATCH	١٠	١٠
0	Parcel_Area	MATCH	٢٤,٩٢٥	٢٤,٩٢٥
0	Nature_of_Entry	MISMATCH	تخ	تـ
0	New_Serial_No	BOTH_EMPTY		
0	Reference_to_Register_of_Changes_Volume_No	MATCH	✓	✓
0	Reference_to_Register_of_Changes_Serial_No	MATCH	٦٢٠	٦٢٠
0	Tax_LP	MATCH	✓	✓
0	Tax_Mils	MATCH	٦٢٩	٦٢٩
0	Total_Tax_LP	BOTH_EMPTY		
0	Total_Tax_Mils	BOTH_EMPTY		
0	Reference_to_Register_of_Exemptions_Entry_No	BOTH_EMPTY		
0	Reference_to_Register_of_Exemptions_Amount_LP	BOTH_EMPTY		
0	Reference_to_Register_of_Exemptions_Amount_Mils	BOTH_EMPTY		
0	Net_Assessment_LP	BOTH_EMPTY		
0	Net_Assessment_Mils	BOTH_EMPTY		
0	Remarks	BOTH_EMPTY		
1	Serial_No	MATCH	٢	٢
1	Date	MATCH	""""	""""
1	Property_recorded_under_Block_No	MISMATCH	٤١٢٣	٤١٢٢
1	Property_recorded_under_Parcel_No	MATCH	١	١
1	Parcel_Cat_No	MATCH	١٠	١٠
1	Parcel_Area	MATCH	٤,٧٢٩	٤,٧٢٩
1	Nature_of_Entry	MATCH	""""	""""
1	New_Serial_No	MATCH	١١٧	١١٧
1	Reference_to_Register_of_Changes_Volume_No	MATCH	✓	✓
1	Reference_to_Register_of_Changes_Serial_No	MISMATCH	.٩٠	٠٩٠
1	Tax_LP	MATCH	✓	✓
1	Tax_Mils	MISMATCH	.٨٥	٠٨٥
1	Total_Tax_LP	BOTH_EMPTY		
1	Total_Tax_Mils	BOTH_EMPTY		
1	Reference_to_Register_of_Exemptions_Entry_No	BOTH_EMPTY		
1	Reference_to_Register_of_Exemptions_Amount_LP	BOTH_EMPTY		
1	Reference_to_Register_of_Exemptions_Amount_Mils	BOTH_EMPTY		
1	Net_Assessment_LP	BOTH_EMPTY		
1	Net_Assessment_Mils	BOTH_EMPTY		
1	Remarks	BOTH_EMPTY		
2	Serial_No	MATCH	٣	٣
2	Date	MATCH	""""	""""
2	Property_recorded_under_Block_No	MATCH	""""	""""
2	Property_recorded_under_Parcel_No	MATCH	٢٢	٢٢
2	Parcel_Cat_No	MATCH	١٠	١٠
2	Parcel_Area	MATCH	١٥٩,٧٧٨	١٥٩,٧٧٨
2	Nature_of_Entry	MATCH	""""	""""
2	New_Serial_No	MATCH	٩٢	٩٢
2	Reference_to_Register_of_Changes_Volume_No	MATCH	✓	✓
2	Reference_to_Register_of_Changes_Serial_No	MATCH	--	---
2	Tax_LP	MATCH	٢	٢
2	Tax_Mils	MATCH	٨٧٦	٨٧٦
2	Total_Tax_LP	BOTH_EMPTY		
2	Total_Tax_Mils	BOTH_EMPTY		
2	Reference_to_Register_of_Exemptions_Entry_No	BOTH_EMPTY		
2	Reference_to_Register_of_Exemptions_Amount_LP	BOTH_EMPTY		
2	Reference_to_Register_of_Exemptions_Amount_Mils	BOTH_EMPTY		
2	Net_Assessment_LP	BOTH_EMPTY		
2	Net_Assessment_Mils	BOTH_EMPTY		
2	Remarks	BOTH_EMPTY		
3	Serial_No	MATCH	٤	٤
3	Date	MATCH	""""	""""
3	Property_recorded_under_Block_No	MATCH	٤١٢٤	٤١٢٤
3	Property_recorded_under_Parcel_No	MATCH	٢	٢
3	Parcel_Cat_No	MATCH	١٠	١٠
3	Parcel_Area	MATCH	١١,٨٦٨	١١,٨٦٨
3	Nature_of_Entry	MATCH	""""	""""
3	New_Serial_No	MATCH	١٠٠	١٠٠
3	Reference_to_Register_of_Changes_Volume_No	MATCH	✓	✓
3	Reference_to_Register_of_Changes_Serial_No	MATCH	٢١٦	٢١٦
3	Tax_LP	MATCH	✓	✓
3	Tax_Mils	MATCH	٢١٤	٢١٤
3	Total_Tax_LP	BOTH_EMPTY		
3	Total_Tax_Mils	BOTH_EMPTY		
3	Reference_to_Register_of_Exemptions_Entry_No	BOTH_EMPTY		
3	Reference_to_Register_of_Exemptions_Amount_LP	BOTH_EMPTY		
3	Reference_to_Register_of_Exemptions_Amount_Mils	BOTH_EMPTY		
3	Net_Assessment_LP	BOTH_EMPTY		
3	Net_Assessment_Mils	BOTH_EMPTY		
3	Remarks	BOTH_EMPTY		
4	Serial_No	MATCH	٥	٥
4	Date	MATCH	""""	""""
4	Property_recorded_under_Block_No	MATCH	""""	""""
4	Property_recorded_under_Parcel_No	MATCH	١٤	١٤
4	Parcel_Cat_No	MATCH	١٠	١٠
4	Parcel_Area	MISMATCH	٩,٧٤٦	٩,٧٤٢
4	Nature_of_Entry	MATCH	""""	""""
4	New_Serial_No	MATCH	102	102
4	Reference_to_Register_of_Changes_Volume_No	MATCH	T.D.L	T.D.L
