row	col	state	som	baseer
0	Serial_No	MISMATCH	٩٧	٢٧
0	Date	ONLY_som	٩٢٢/٩٢٤	
0	Property_recorded_under_Block_No	ONLY_som	٤١٤٩	
0	Property_recorded_under_Parcel_No	ONLY_som	٢٨	
0	Parcel_Cat_No	ONLY_som	١٢	
0	Parcel_Area	ONLY_som	٢,١٨٩	
0	Nature_of_Entry	ONLY_som	بيع	
0	New_Serial_No	MISMATCH	٢٥	٣٥
0	Reference_to_Register_of_Changes_Volume_No	ONLY_som	١	
0	Reference_to_Register_of_Changes_Serial_No	ONLY_som	٢١	
0	Tax_LP	MISMATCH	✓	السبت
0	Tax_Mils	ONLY_som	٠٢٤	
0	Total_Tax_LP	MISMATCH	٨	٤
0	Total_Tax_Mils	MISMATCH	٨٧٢	٤٣٦
0	Reference_to_Register_of_Exemptions_Entry_No	BOTH_EMPTY		
0	Reference_to_Register_of_Exemptions_Amount_LP	BOTH_EMPTY		
0	Reference_to_Register_of_Exemptions_Amount_Mils	BOTH_EMPTY		
0	Net_Assessment_LP	MATCH	٨	٨
0	Net_Assessment_Mils	MATCH	٨٧٢	٨٧٢
0	Remarks	BOTH_EMPTY		
1	Serial_No	ONLY_som	٩٨	
1	Date	BOTH_EMPTY		
1	Property_recorded_under_Block_No	BOTH_EMPTY		
1	Property_recorded_under_Parcel_No	BOTH_EMPTY		
1	Parcel_Cat_No	ONLY_som	١٦	
1	Parcel_Area	ONLY_som	٤,٣١٤	
1	Nature_of_Entry	BOTH_EMPTY		
1	New_Serial_No	BOTH_EMPTY		
1	Reference_to_Register_of_Changes_Volume_No	BOTH_EMPTY		
1	Reference_to_Register_of_Changes_Serial_No	BOTH_EMPTY		
1	Tax_LP	BOTH_EMPTY		
1	Tax_Mils	BOTH_EMPTY		
1	Total_Tax_LP	BOTH_EMPTY		
1	Total_Tax_Mils	BOTH_EMPTY		
1	Reference_to_Register_of_Exemptions_Entry_No	BOTH_EMPTY		
1	Reference_to_Register_of_Exemptions_Amount_LP	BOTH_EMPTY		
1	Reference_to_Register_of_Exemptions_Amount_Mils	BOTH_EMPTY		
1	Net_Assessment_LP	BOTH_EMPTY		
